titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
duelo de snipers;Unimed Campinas Basquete;11;710;3;https://lbf.com.br/noticias/duelo-de-snipers/
nonato retorna ao blumenau;Sampaio Basquete;2;314;3;https://lbf.com.br/noticias/nonato-retorna-ao-blumenau/
para se recuperar;Santo André;26;858;3;https://lbf.com.br/noticias/para-se-recuperar/
erika de souza se despede do uninassauamerica;Sport/Uninassau/Inst. Todos;7;514;2;https://lbf.com.br/noticias/erika-de-souza-se-despede-do-uninassauamerica/
beatriz a defensora do ano;Unimed Campinas Basquete;7;537;5;https://lbf.com.br/noticias/beatriz-a-defensora-do-ano/
dominante;Sport/Uninassau/Inst. Todos;3;625;2;https://lbf.com.br/noticias/dominante/
na ultima bola 2;Sport/Uninassau/Inst. Todos;1;511;1;https://lbf.com.br/noticias/na-ultima-bola-2/
rio claro basquete enfrenta o xv de piracicaba em partida amistosa;Sport/Uninassau/Inst. Todos;5;281;1;https://lbf.com.br/noticias/rio-claro-basquete-enfrenta-o-xv-de-piracicaba-em-partida-amistosa/
mvp das finais lbf caixa 2019 taina paixao renova com o sampaio basquete;Sampaio Basquete;10;487;3;https://lbf.com.br/noticias/mvp-das-finais-lbf-caixa-2019-taina-paixao-renova-com-o-sampaio-basquete/
campea do torneio de tres pontos 2018 tassia fecha com blumenau;Sport/Uninassau/Inst. Todos;9;540;2;https://lbf.com.br/noticias/campea-do-torneio-de-tres-pontos-2018-tassia-fecha-com-blumenau/
se impos;Santo André;14;512;3;https://lbf.com.br/noticias/se-impos/
americana fecha a primeira fase da lbf 201415 com a primeira colocacao confrontos do playoff estao definidos;Pontz São José Basketball;16;985;3;https://lbf.com.br/noticias/americana-fecha-a-primeira-fase-da-lbf-201415-com-a-primeira-colocacao-confrontos-do-playoff-estao-definidos/
bolivia sai na frente;Unimed Campinas Basquete;20;994;3;https://lbf.com.br/noticias/bolivia-sai-na-frente/
presidente da lbf participa de painel do basquete feminino na proxima terca;Santo André;2;500;2;https://lbf.com.br/noticias/presidente-da-lbf-participa-de-painel-do-basquete-feminino-na-proxima-terca/
sesi araraquara bate o cerrado antes da copa;SESI Araraquara Basquete;11;485;4;https://lbf.com.br/noticias/sesi-araraquara-bate-o-cerrado-antes-da-copa/
internacional e xv jogam pela recuperacao no paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;311;1;https://lbf.com.br/noticias/internacional-e-xv-jogam-pela-recuperacao-no-paulista-feminino-da-serie-a-2/
brasil cresce no jogo mas perde da australia na segunda rodada da zafer cup na turquia;Sport/Uninassau/Inst. Todos;5;393;1;https://lbf.com.br/noticias/brasil-cresce-no-jogo-mas-perde-da-australia-na-segunda-rodada-da-zafer-cup-na-turquia/
numero de jogadoras estrangeiras na proxima edicao da lbf sera de duas por equipe;Sport/Uninassau/Inst. Todos;1;218;1;https://lbf.com.br/noticias/numero-de-jogadoras-estrangeiras-na-proxima-edicao-da-lbf-sera-de-duas-por-equipe/
espirito de resiliencia;Sampaio Basquete;11;752;4;https://lbf.com.br/noticias/espirito-de-resiliencia/
decisiva aqui e na wnba;Nenhum time identificado;0;233;0;https://lbf.com.br/noticias/decisiva-aqui-e-na-wnba/
sao bernardo e xv jogam nesta sexta pelo paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;245;1;https://lbf.com.br/noticias/sao-bernardo-e-xv-jogam-nesta-sexta-pelo-paulista-feminino-da-serie-a-2/
sem as brasileiras nadia colhado e erika de souza atlanta dream perde na pre temporada da wnba;Sport/Uninassau/Inst. Todos;2;302;1;https://lbf.com.br/noticias/sem-as-brasileiras-nadia-colhado-e-erika-de-souza-atlanta-dream-perde-na-pre-temporada-da-wnba/
atual mvp da lbf thayna e homenageada na camara de mesquita;Sodiê Mesquita;22;441;5;https://lbf.com.br/noticias/atual-mvp-da-lbf-thayna-e-homenageada-na-camara-de-mesquita/
nova lideranca;Sampaio Basquete;11;450;4;https://lbf.com.br/noticias/nova-lideranca/
inscricao para o programa bolsa atleta termina nesta terca feira;Sport/Uninassau/Inst. Todos;4;410;2;https://lbf.com.br/noticias/inscricao-para-o-programa-bolsa-atleta-termina-nesta-terca-feira/
sesi araraquara e campeao;Santo André;12;494;2;https://lbf.com.br/noticias/sesi-araraquara-e-campeao/
deram show;Sampaio Basquete;2;570;1;https://lbf.com.br/noticias/deram-show/
santo andre apaba participa de encontro internacional;Santo André;2;318;1;https://lbf.com.br/noticias/santo-andre-apaba-participa-de-encontro-internacional/
hoje tem 19h30 unisociesc blumenau x unimed campinas;Unimed Campinas Basquete;13;516;5;https://lbf.com.br/noticias/hoje-tem-19h30-unisociesc-blumenau-x-unimed-campinas/
selecao brasileira feminina embarca para disputar o pan americano de toronto na segunda feira;Sport/Uninassau/Inst. Todos;1;462;1;https://lbf.com.br/noticias/selecao-brasileira-feminina-embarca-para-disputar-o-pan-americano-de-toronto-na-segunda-feira/
ad santo andre empata final paulista;Santo André;8;224;2;https://lbf.com.br/noticias/ad-santo-andre-empata-final-paulista/
tubarao absoluto;Sampaio Basquete;10;347;3;https://lbf.com.br/noticias/tubarao-absoluto/
sport gloria do goita volta a vencer no recife;Sport/Uninassau/Inst. Todos;14;576;3;https://lbf.com.br/noticias/sport-gloria-do-goita-volta-a-vencer-no-recife/
uma passadinha pela base 16;Sport/Uninassau/Inst. Todos;1;226;1;https://lbf.com.br/noticias/uma-passadinha-pela-base-16/
apos mandato tampao ricardo molina e reeleito por mais quatro anos;Santo André;2;546;2;https://lbf.com.br/noticias/apos-mandato-tampao-ricardo-molina-e-reeleito-por-mais-quatro-anos/
america derrota o barretos e assume a lideranca isolada da lbf 201415 com 100 de aproveitamento;Sport/Uninassau/Inst. Todos;7;516;1;https://lbf.com.br/noticias/america-derrota-o-barretos-e-assume-a-lideranca-isolada-da-lbf-201415-com-100-de-aproveitamento/
erika de souza e apresentada ao adana aski;Sport/Uninassau/Inst. Todos;4;752;1;https://lbf.com.br/noticias/erika-de-souza-e-apresentada-ao-adana-aski/
jogo quente em santa catarina sc;SESI Araraquara Basquete;16;930;5;https://lbf.com.br/noticias/jogo-quente-em-santa-catarina-sc/
bronze definido;Unimed Campinas Basquete;9;427;4;https://lbf.com.br/noticias/bronze-definido/
unimed campinas avanca;Unimed Campinas Basquete;134;1215;6;https://lbf.com.br/noticias/unimed-campinas-avanca/
aberto o credenciamento para o derby da capital pernambucana;Sport/Uninassau/Inst. Todos;8;207;1;https://lbf.com.br/noticias/aberto-o-credenciamento-para-o-derby-da-capital-pernambucana/
foco no sabado;Sampaio Basquete;4;754;3;https://lbf.com.br/noticias/foco-no-sabado/
lbf apresenta mais inovacoes em sua gestao;Sport/Uninassau/Inst. Todos;4;660;3;https://lbf.com.br/noticias/lbf-apresenta-mais-inovacoes-em-sua-gestao/
a palavra dos dirigentes;ADRM Maringá;2;491;3;https://lbf.com.br/noticias/a-palavra-dos-dirigentes/
7 seguidas para o vera cruz campinas;Sampaio Basquete;17;568;4;https://lbf.com.br/noticias/7-seguidas-para-o-vera-cruz-campinas/
embalou de vez;Sport/Uninassau/Inst. Todos;4;697;4;https://lbf.com.br/noticias/embalou-de-vez/
muita moral;Sport/Uninassau/Inst. Todos;3;367;1;https://lbf.com.br/noticias/muita-moral/
uninassauamerica contrata a jovem alapivo nicolle chirinda;Sport/Uninassau/Inst. Todos;5;340;1;https://lbf.com.br/noticias/uninassauamerica-contrata-a-jovem-alapivo-nicolle-chirinda/
novidades e um retorno especial no ad santo andre;Santo André;6;384;2;https://lbf.com.br/noticias/novidades-e-um-retorno-especial-no-ad-santo-andre/
com quase 50 dos votos adrianinha domina a votacao de craque da galera;Sport/Uninassau/Inst. Todos;5;274;1;https://lbf.com.br/noticias/com-quase-50-dos-votos-adrianinha-domina-a-votacao-de-craque-da-galera/
bem vinda de volta caixa;Sport/Uninassau/Inst. Todos;7;889;6;https://lbf.com.br/noticias/bem-vinda-de-volta-caixa/
babi e campea;Sport/Uninassau/Inst. Todos;6;484;4;https://lbf.com.br/noticias/babi-e-campea/
jogo 3 determinante;Sampaio Basquete;5;434;3;https://lbf.com.br/noticias/jogo-3-determinante/
carol ross apresentada as atletas do uninassauamerica;Sport/Uninassau/Inst. Todos;5;266;1;https://lbf.com.br/noticias/carol-ross-apresentada-as-atletas-do-uninassauamerica/
duas atletas do santo andre integram a selecao brasileira que se prepara para o campeonato mundial da turquia;Santo André;8;483;3;https://lbf.com.br/noticias/duas-atletas-do-santo-andre-integram-a-selecao-brasileira-que-se-prepara-para-o-campeonato-mundial-da-turquia/
bolivia da o troco;Sampaio Basquete;9;551;3;https://lbf.com.br/noticias/bolivia-da-o-troco/
minnesota de damiris do amaral vence e atlanta de erika de souza perde na rodada da wnba;Sport/Uninassau/Inst. Todos;1;463;1;https://lbf.com.br/noticias/minnesota-de-damiris-do-amaral-vence-e-atlanta-de-erika-de-souza-perde-na-rodada-da-wnba/
tecnicos de basquete do brasil se unem e criam associacao;Pontz São José Basketball;2;565;2;https://lbf.com.br/noticias/tecnicos-de-basquete-do-brasil-se-unem-e-criam-associacao/
100paio;Sampaio Basquete;20;724;5;https://lbf.com.br/noticias/100paio/
